area_name,Population Size-Total
Tanga,2615597
Mainland,59851347
Kilimanjaro,1861934
Shinyanga,2241299
Songwe,1344687
Kaskazini Unguja,257290
Manyara,1892502
Pwani,2024947
Lindi,1194028
Njombe,889946
Mtwara,1634947
Kaskazini Pemba,272091
Ruvuma,1848794
Tabora,3391679
Zanzibar,1889773
Mara,2372015
Tanzania,61741120
Kigoma,2470967
Morogoro,3197104
Kagera,2989299
Dodoma,3085625
Mbeya,2343754
Simiyu,2140497
Iringa,1192728
Kusini Pemba,271350
Geita,2977608
Rukwa,1540519
Mjini Magharibi,893169
Kusini Unguja,195873
Katavi,1152958
Dar-es-salaam,5383728
Mwanza,3699872
Singida,2008058
Arusha,2356255
