location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
TZA,False,True,,,,,,,0,all,all,None,None,58552845,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,0-4,0,4,9242721,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,5-9,5,9,8254793,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,10-14,10,14,7504373,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,15-19,15,19,6554783,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,20-24,20,24,5381559,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,25-29,25,29,4432053,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,30-34,30,34,3810018,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,35-39,35,39,3236004,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,40-44,40,44,2708737,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,45-49,45,49,2069975,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,50-54,50,54,1491022,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,55-59,55,59,1146195,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,60-64,60,64,915773,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,65-69,65,69,706299,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,70-74,70,74,508899,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,75-79,75,79,327596,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,all,80+,80,None,262045,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,all,None,None,29226794,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,0-4,0,4,4676663,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,5-9,5,9,4169048,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,10-14,10,14,3787061,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,15-19,15,19,3298190,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,20-24,20,24,2690018,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,25-29,25,29,2211845,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,30-34,30,34,1902754,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,35-39,35,39,1616397,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,40-44,40,44,1360635,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,45-49,45,49,1048645,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,50-54,50,54,763353,2020-01-01,2020-12-31
TZA,False,True,,,,,,,0,m,55-59,55,59,556157,2020-01-01,2020-12-31
